Run,PopSize,CxProb,MaxDepth,Wraps,Tournament,Fitness,,,,
4,300,0.75,15,5,25,"7,874",,,,
6,300,0.75,25,3,15,"7,9",,,,
12,500,0.60,25,5,5,"8,477",,,,
13,500,0.75,15,3,5,"8,594",,,,
18,500,0.90,25,3,15,"8,606",,,,
9,300,0.90,25,5,5,"8,648",,,,
11,500,0.60,20,3,25,"8,67",,,,
10,500,0.60,15,7,15,"8,868",,,,
1,300,0.60,15,3,5,"9,025",,,,
15,500,0.75,25,7,25,"9,09",,,,
14,500,0.75,20,5,15,"9,092",,,,
2,300,0.60,20,5,15,"9,338",,,,
7,300,0.90,15,7,15,"9,523",,,,
8,300,0.90,20,3,25,"9,621",,,,
17,500,0.90,20,7,5,"9,66",,,,
16,500,0.90,15,5,25,"9,803",,,,
3,300,0.60,25,7,25,"9,858",,,,
5,300,0.75,20,7,5,"9,942",,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Faktor: popsize
,,,,,,,,,,"Mittel-Fitness:    {300.0: 9.081, 500.0: 8.984444444444444}"
,,,,,,,,,,"Mittel-S/N-Ratio:  {300.0: -19.191486359536988, 500.0: -19.08065950749256}"
,,,,,,,,,,Δ-Fitness:         0.09655555555555573
,,,,,,,,,,
,,,,,,,,,,Faktor: maxdepth
,,,,,,,,,,"Mittel-Fitness:    {15.0: 8.947833333333334, 20.0: 9.387166666666667, 25.0: 8.763166666666667}"
,,,,,,,,,,"Mittel-S/N-Ratio:  {15.0: -19.055576265329293, 20.0: -19.459231688460537, 25.0: -18.87363074597844}"
,,,,,,,,,,Δ-Fitness:         0.4393333333333338
,,,,,,,,,,
,,,,,,,,,,Faktor: wraps
,,,,,,,,,,"Mittel-Fitness:    {3.0: 8.735999999999999, 5.0: 8.872, 7.0: 9.490166666666667}"
,,,,,,,,,,"Mittel-S/N-Ratio:  {3.0: -18.841467769979797, 5.0: -18.981845598724266, 7.0: -19.552837126459412}"
,,,,,,,,,,Δ-Fitness:         0.136000000000001
,,,,,,,,,,
,,,,,,,,,,Faktor: tournament
,,,,,,,,,,"Mittel-Fitness:    {5.0: 9.057666666666668, 15.0: 8.887833333333333, 25.0: 9.152666666666667}"
,,,,,,,,,,"Mittel-S/N-Ratio:  {5.0: -19.15675783972343, 15.0: -18.99149852262432, 25.0: -19.25689734232777}"
,,,,,,,,,,Δ-Fitness:         0.16983333333333483
,,,,,,,,,,
,,,,,,,,,,Faktor: cxprob
,,,,,,,,,,"Mittel-Fitness:    {60.0: 9.039333333333333, 75.0: 8.748666666666667, 90.0: 9.310166666666667}"
,,,,,,,,,,"Mittel-S/N-Ratio:  {60.0: -19.13371287441477, 75.0: -18.868690545577202, 90.0: -19.39116985395309}"
,,,,,,,,,,Δ-Fitness:         0.29066666666666663
